username,date,retweets,favorites,text,hashtags
ianmsantos,2017-10-21 22:42,0,0,#Breakfast was #lit ... #VirginAmerica #VX #Food @virginamerica https://www. instagram.com/p/BaiK_tnB9lp/,#Breakfast #lit #VirginAmerica #VX #Food
k0shi_mama,2017-10-21 08:52,0,0,Just saw @todrick on the #VirginAmerica flight safety video weeeeerk it,#VirginAmerica
Kellisae,2017-10-21 08:45,0,2,"Since this #alaskaairlines take-over, the #virginamerica service is suffering. They make me late all the time! I’ve had it!",#alaskaairlines #virginamerica
Kellisae,2017-10-21 08:38,0,3,#virginamerica #alaskaairlines too many delayed flights constantly. Guess it’s time for a switch. Wasn’t like this under @richardbranson,#virginamerica #alaskaairlines
beblito,2017-10-21 03:08,0,0,#TSA at #JFK incompetent inefficient employees broke bag zipper and left bag open #VirginAmerica … https://www. instagram.com/p/BagEjPTgl-R/,#TSA #JFK #VirginAmerica
FirstLadyofTrvl,2017-10-21 01:36,0,0,#VirginAmerica has amazing domestic #firstclass seats! #legroom #recliners,#VirginAmerica #firstclass #legroom #recliners
919BlogNC,2017-10-20 21:58,0,1,Virgin America begins nonstop flights between #RDU Airport and San Francisco http://www. newsobserver.com/news/business/ article180015906.html#storylink=rss … #Raleigh #Durham #VirginAmerica #NC pic.twitter.com/YHDeU5nSFD,#RDU #storylink #Raleigh #Durham #VirginAmerica #NC
ChadJamesSpeaks,2017-10-20 21:07,0,0,Richard Branson Says Alaska Air 'Castrated' Virgin America http://www. travelandleisure.com/airlines-airpo rts/virgin-america/richard-branson-says-virgin-america-castrated … #RichardBranson #VirginAmerica,#RichardBranson #VirginAmerica
miles_report,2017-10-20 19:42,0,0,Richard Branson Says America's Coolest Airline Got “Castrated” and #VirginAmerica #RichardBranson https:// milesreport.com/us/branson/new s#t14711 …,#VirginAmerica #RichardBranson #t14711
beblito,2017-10-20 19:30,0,0,When you get an empty plane on #VirginAmerica . Love the #lights . #JFK #SFO @John F. Kennedy… https://www. instagram.com/p/BafQJ4tAMEa/,#VirginAmerica #lights #JFK #SFO
lwsantiago,2017-10-20 19:02,0,1,When I’m #Dallas #layover #virginamerica #tillthewheelsfalloff #flightattendant #crewlife … https://www. instagram.com/p/BafM8b7gY2N/,#Dallas #layover #virginamerica #tillthewheelsfalloff #flightattendant #crewlife
tamarajbunker,2017-10-20 18:40,0,0,Landing... #travel #NYC #JFK #plane #shadow #virginamerica #hellonyc #fly #Friday #adventure … https://www. instagram.com/p/BafKbbtBoNT/,#travel #NYC #JFK #plane #shadow #virginamerica #hellonyc #fly #Friday #adventure
IntegralEros,2017-10-20 18:39,0,2,#virginAmerica safety video was cute the first 100 times or so... see you soon #palmSprings … https://www. instagram.com/p/BafKN5Glviv/,#virginAmerica #palmSprings
doyoulovemusic,2017-10-20 16:10,0,0,"weather conditions are the only ones they dont have to reimburse you for, I am assuming thats why all delays at #virginamerica are ""weather""",#virginamerica
Larissa_FA_USA,2017-10-20 10:00,0,1,"They buy something because it's doing so well, and then they castrate it. - Richard Branson #Farewell #VirginAmerica http:// cnb.cx/2yB4xQx",#Farewell #VirginAmerica
RichardDerg,2017-10-20 01:19,0,2,#alaskaairlines you’re taking #virginamerica down before you’ve even started - time to change airlines.,#alaskaairlines #virginamerica
RichardDerg,2017-10-20 01:17,1,1,#virginamerica 2 weeks in a row - over an hour delayed with no legitimate reason. You suck! Also- no miles credited. Time to fly United,#virginamerica
CortlinHandly,2017-10-20 00:59,0,3,#virginamerica Can I get a cumulative credit for every flight between SFO & LAX that's been delayed 4 me in the last year? 28 outta 30,#virginamerica
SheShopsMuch,2017-10-19 23:38,0,2,That is done come Jan 2018 and screwing all their customers. #virginamerica,#virginamerica
KristenSilva_,2017-10-19 23:33,0,3,Now that #AlaskaAirlines owns #VirginAmerica who am I supposed to complain to? How do I go from 10 service to 1 star in less than a year?,#AlaskaAirlines #VirginAmerica
Aviationizer,2017-10-19 21:52,0,0,"#VirginAmerica Sale! Flights From $42, or Just $171 One Way to #Hawaii - TravelUpdate http:// aviation.trendolizer.com/2017/10/virgin -america-sale-flights-from-42-or-just-171-one-way-to-hawaii---travelupdate.html … pic.twitter.com/lA5hSDP9XO",#VirginAmerica #Hawaii
rbodzin,2017-10-19 16:19,0,1,#virginamerica only let’s elite status flyers rebook a cancelled flight. All others are tossed aside. Wasted day @sfo trying to get to SD,#virginamerica
cameronweston01,2017-10-19 16:16,0,3,"Ticket gate, then go BACK thru security - assuming they even get flights out. #virginamerica - incompetent liars",#virginamerica
rbodzin,2017-10-19 15:55,0,1,Now flight cancelled due to alleged weather @sfo . #virginamerica is a joke. & rep told us that without hi Status we are last on rebook,#virginamerica
rbodzin,2017-10-19 15:39,0,1,#virginamerica Now @sfo into the 4th hr of delays flight 1751 & bad info from Virgin staff. now told more delays. Useless staff. Wasted day,#virginamerica
rbodzin,2017-10-19 15:07,0,5,#virginamerica terrible experience now into a 3rd hour of delays @sfo for flight 1715 to SND. poor organization by Virgin. Wasted day!,#virginamerica
rbodzin,2017-10-19 15:05,0,0,#virginamerica,#virginamerica
BeefierPlatypus,2017-10-19 13:04,0,0,#legroom #VirginAmerica #TwitchCon pic.twitter.com/XzEkFhJzK6,#legroom #VirginAmerica #TwitchCon
Aviationizer,2017-10-19 10:20,0,0,Another #VirginAmerica fare sale - as low as $49 plus sale to #Hawaii - Points with a Crew #westcoast ... http:// aviation.trendolizer.com/2017/10/anothe r-virgin-america-fare-sale---as-low-as-49-plus-sale-to-hawaii---points-with-a-crew.html … pic.twitter.com/zEozJMWo4U,#VirginAmerica #Hawaii #westcoast
ConnectWithIzzy,2017-10-19 09:09,0,0,Catch flights not feelings they said...so I did... #virginamerica #LABound https://www. instagram.com/p/BabkTOJF0O2/,#virginamerica #LABound
miles_report,2017-10-18 22:06,0,1,"Richard Branson says Alaska Air ""castrated"" Virgin America #VirginAmerica #Branson https:// milesreport.com/us/branson/new s#t14672 …",#VirginAmerica #Branson #t14672
Pamzywamzy_,2017-10-18 18:19,0,0,Nov 3rd im getting that job #VirginAmerica,#VirginAmerica
ThruTheNoise,2017-10-18 17:12,0,0,"Sounds like sour grapes to me. #VirginAmerica was trendy but #AlaskaAir is the best us airline, by far - http:// cnb.cx/2gOKiae",#VirginAmerica #AlaskaAir
Savvy_Spice,2017-10-18 15:25,0,1,Branson says Alaska Air castrated #VirginAmerica : ‘I don’t normally take these things lying down’ http:// cnb.cx/2l0a9ke,#VirginAmerica
MilesDeals,2017-10-18 15:24,0,0,San Francisco - Baltimore (and vice versa) $196 round trip. travel with Virgin America #VirginAmerica #SanFrancisco https:// milesreport.com/us/san-francis co/deals#t14666 …,#VirginAmerica #SanFrancisco #t14666
ChadJamesSpeaks,2017-10-18 14:37,0,0,Richard Branson sounds off on Virgin America sale and pretty much everything in S.F. https://www. bizjournals.com/sanfrancisco/n ews/2017/10/17/richard-branson-virgin-america-alaska-airlines-alk.html … #RichardBranson #VirginAmerica,#RichardBranson #VirginAmerica
MilesDeals,2017-10-18 03:18,0,0,Non-stop from Los Angeles to Philadelphia for only $183 roundtrip with Virgin America. #VirginAmerica #LosAngeles https:// milesreport.com/us/los-angeles /deals#t14521 …,#VirginAmerica #LosAngeles #t14521
Frommers,2017-10-17 19:10,0,0,The beloved #VirginAmerica will fly for the last time in April 2018 http:// bit.ly/2wIRB9b pic.twitter.com/v0G8BofyEP,#VirginAmerica
graffitos,2017-10-17 01:10,0,0,The exact same flights are more expensive on @AlaskaAir .com (~$181) vs @VirginAmerica ($109) site. #Awful I will miss you #virginamerica,#Awful #virginamerica
Michelle_Pappas,2017-10-16 17:43,0,1,Not pleased with #VirginAmerica switching to Alaska,#VirginAmerica
readinginak,2017-10-16 15:31,0,0,#Manhattan #centralpark #virginamerica #fromtheair https://www. instagram.com/p/BaUhsR2DxsM/,#Manhattan #centralpark #virginamerica #fromtheair
Lyndzzz,2017-10-16 15:04,0,1,Already been told off by enkay_7 for not having wine with my cheese. #virginamerica #freefood … https://www. instagram.com/p/BaUeXwmn-dv/,#virginamerica #freefood
Frommers,2017-10-15 18:10,1,3,"You have 6 months to say goodbye to #VirginAmerica . Cheers, mate: http:// bit.ly/2wIRB9b pic.twitter.com/DH9lHLVyvo",#VirginAmerica
XtWOfficial,2017-10-15 13:10,0,0,"#VirginAmerica airplanes will begin flying as Alaska flights beginning April 25, 2018. https://www. cntraveler.com/story/virgin-a merica-will-no-longer-exist-in-6-months?mbid=nl_101117_Daily&CNDID=50302146&spMailingID=12121501&spUserID=MjA1Mzg0NjIxOTgxS0&spJobID=1260963371&spReportId=MTI2MDk2MzM3MQS2 …",#VirginAmerica
abroad365,2017-10-15 05:03,0,2,http://www. abroad365.org/blog/horrible- customer-service-from-virgin-america-at-ohare-chicago … Horrible customer service from #virginamerica #ohare #chicago #badservice #shame pic.twitter.com/pwuQjAHf9y,#virginamerica #ohare #chicago #badservice #shame
MariannaJohnson,2017-10-15 01:13,0,1,30 min late for take-off now 40 min for airplane taxi VX1236. Free snacks would help wink wink @VirginAmerica #virginamerica,#virginamerica
haydnadams,2017-10-14 18:32,1,2,Happiness is being on @VirginAmerica and not flying on @AmericanAir . Love flying #virginamerica pic.twitter.com/QisLxTnNMD,#virginamerica
waysnmeans,2017-10-14 16:03,0,1,I wondered when the acquisition of #virginamerica by #alaskasirlines would take its toll. It's officially happened. Cool vibe gone.,#virginamerica #alaskasirlines
OCTim,2017-10-14 11:37,0,0,Yep.. it’s on! #Maui #hawaii #virginamerica #@LAX Terminal 6 https://www. instagram.com/p/BaO9QExlzWj/,#Maui #hawaii #virginamerica #
MilesDeals,2017-10-13 15:00,0,0,"Boston to Nice, France for only $468 roundtrip with Virgin America. #VirginAmerica #Boston https:// milesreport.com/us/boston/deal s#t14292 …",#VirginAmerica #Boston #t14292
Frommers,2017-10-13 12:05,1,1,#VirginAmerica to say cheerio and farewell after 10 years aloft: http:// bit.ly/2wIRB9b pic.twitter.com/mcJ25uBotI,#VirginAmerica
jwind9799,2017-10-13 04:29,0,0,#virginamerica fyi flight VX1211 that just landed in SFO--seat 8C won't recline and you can't turn up the sound. Good flight crew tho,#virginamerica
almondessence,2017-10-13 00:40,0,0,"Landed safely , home to my handsome I go #ImisshimMuch #virginAmerica",#ImisshimMuch #virginAmerica
djdojah,2017-10-13 00:31,0,0,. @VirginAmerica big thank you to gate agent beth at LAX (gate 63) for working her magic and getting me on an earlier flight #virginamerica,#virginamerica
MrMattWhitaker,2017-10-12 18:55,0,0,@GameOverGreggy #VirginAmerica will no longer exist in 6 months https://www. cntraveler.com/story/virgin-a merica-will-no-longer-exist-in-6-months?mbid=nl_101117_Daily&CNDID=50299950&spMailingID=12121501&spUserID=MjA1Mzg0NjIwNDE0S0&spJobID=1260963371&spReportId=MTI2MDk2MzM3MQS2 …,#VirginAmerica
jrcropspraying1,2017-10-12 18:02,0,0,I love my hobby #virginamerica #firstclass #alaskamiles #cheaptravel … https://www. instagram.com/p/BaKfu7tB6tnl v2G7yeZxQWvK6xmvpQHkwXN_vY0/ …,#virginamerica #firstclass #alaskamiles #cheaptravel
LBizzy,2017-10-12 16:01,0,0,#VirginAmerica #ThereWillNeverBeAnother #eleVAte #MyAirlineOfChoice #IsItPossibleToLoveACompany … https://www. instagram.com/p/BaKR8clDwXL/,#VirginAmerica #ThereWillNeverBeAnother #eleVAte #MyAirlineOfChoice #IsItPossibleToLoveACompany
aracelycdiaz,2017-10-12 10:24,0,0,@richardbranson #askrichardbranson #VirginAmerica what does mean for you Virgin America? We will miss VX and we will miss you,#askrichardbranson #VirginAmerica
wings_around,2017-10-12 09:16,1,0,"Hey @richardbranson don't leave the #aviation industry, please :-) We're going to miss #virginamerica & maybe #virginatlantic #avgeek",#aviation #virginamerica #virginatlantic #avgeek
pugetpeter,2017-10-12 08:22,0,1,Den to SFO. VA FC 2F feels like last hurrah and goodbye #virginamerica #iFlyAlaska pic.twitter.com/URzD2JzfM7,#virginamerica #iFlyAlaska
Frommers,2017-10-12 06:30,1,0,#VirginAmerica has set a date for its last flights http:// bit.ly/2wIRB9b pic.twitter.com/ojVaHl8Ciy,#VirginAmerica
HopeJoyandKids,2017-10-12 02:09,0,1,"3gate changes, hundreds of irritated passengers, 1 delayed flight #virginamerica",#virginamerica
afiyathediva,2017-10-11 23:49,0,0,"So instead of just transitioning #VirginAmerica cardholders to the #AlaskaAirlines one, we have 2 apply 4 it w/ a #hardpull on our credit",#VirginAmerica #AlaskaAirlines #hardpull
TribeRoadhouse,2017-10-11 22:57,0,0,Virgin America Will No Longer Exist in 6 Months http:// cntraveler.com/story/virgin-a merica-will-no-longer-exist-in-6-months … #virginamerica #airlines #flights #flightplans @VirginAmerica,#virginamerica #airlines #flights #flightplans
SaraMichealene,2017-10-11 21:22,0,1,Seriously #virginamerica - 2 people to reschedule an entire flights worth of people when you didn’t cancel the flight until 5 mins before ?!,#virginamerica
krysfree,2017-10-11 19:56,0,0,::Finishes sour cream and onion pringles in petty.:: Hope to fall asleep with my mouth WIDE OPEN. #TravelNoire #VirginAmerica #SeatBully,#TravelNoire #VirginAmerica #SeatBully
Patee122,2017-10-11 18:19,0,1,wow flying with Virgin America is like being in a club hahaha #virginamerica Quite amazing idea… https://www. instagram.com/p/BaH840wHOhK/,#virginamerica
MicheleLanfrank,2017-10-11 18:16,0,0,Not smart for #AlaskaAirlines to end the #VirginAmerica #Airline #brand . Why buy one of the most respected brands... http:// fb.me/2nDL1a0ce,#AlaskaAirlines #VirginAmerica #Airline #brand
HMITravel,2017-10-11 17:58,0,0,#Noooo !! #VirginAmerica Will No Longer Exist in 6 Months https://www. cntraveler.com/story/virgin-a merica-will-no-longer-exist-in-6-months … via @CNTraveler,#Noooo #VirginAmerica
carsonworldwide,2017-10-11 17:43,0,0,#VirginAmerica out.. in less than 6 months so are the Airbuses which will be replaced by Boeings. http:// fb.me/7niQCD1nk,#VirginAmerica
josiekeenan,2017-10-11 10:23,0,0,Look at the bright side! #Brexit #TheFoodIsFINE #YouCantPayPeopleToHuzzah #WhoTheFuckIsPaying92ForTea #ThisIsAWeirdAdCampaign #VirginAmerica pic.twitter.com/kULC3UASoh,#Brexit #TheFoodIsFINE #YouCantPayPeopleToHuzzah #WhoTheFuckIsPaying92ForTea #ThisIsAWeirdAdCampaign #VirginAmerica
Frommers,2017-10-11 07:45,0,0,#VirginAmerica will cease #flights in 2018: http:// bit.ly/2wIRB9b pic.twitter.com/syOH2N7jPW,#VirginAmerica #flights
deandelray,2017-10-11 06:14,0,7,Been flying #virginamerica for years and it’s been a great run but this is probably the last… https://www. instagram.com/p/BaGp9xXBUnG/,#virginamerica
DefenestratedGK,2017-10-11 06:02,0,0,"#LasVegas #VirginAmerica #cityscape @Las Vegas, Nevada https://www. instagram.com/p/BaGoljJBHFt/",#LasVegas #VirginAmerica #cityscape
kriscad,2017-10-10 21:04,0,1,@richardbranson I'm trying to convince my daughter @KendallMadison9 that the disco ball will drop from ceiling. #virginamerica pic.twitter.com/ZszQSwxSA1,#virginamerica
fpalacioso,2017-10-10 20:40,0,0,#VirginAmerica deja de existir pronto. Un legado de #RichardBranson #MarketingTurístico http:// bit.ly/2o2UYpG pic.twitter.com/PtFAzi8ChM,#VirginAmerica #RichardBranson #MarketingTur
Frommers,2017-10-10 18:05,0,0,"Cheerio, #VirginAmerica ! We hardly knew ye: http:// bit.ly/2wIRB9b pic.twitter.com/hdDo5tPl8D",#VirginAmerica
Frommers,2017-10-10 14:40,0,0,Say #goodbye to #VirginAmerica . You have 6 months: http:// bit.ly/2wIRB9b pic.twitter.com/FaUY7tiZMc,#goodbye #VirginAmerica
NikkiBeauchamp,2017-10-10 12:51,0,0,"#VirginAmerica Will Soon Be Gone Forever, & We Now Know Its Final Day http://www. travelandleisure.com/airlines-airpo rts/virgin-america/virgin-america-gone-alaska-airlines-date … via @TravelLeisure @VirginAmerica @AlaskaAir",#VirginAmerica
ChiokeMusic,2017-10-10 11:24,0,0,"#VirginAmerica Will Soon Be Gone Forever, and We Now Know Its Final Day - @travelleisure … https://www. instagram.com/p/BaEolhyhl0Q/",#VirginAmerica
Simplyjen,2017-10-10 03:55,0,0,"Virgin America Will Soon Be Gone Forever, and We Now Know Its Final Day :( http://www. travelandleisure.com/airlines-airpo rts/virgin-america/virgin-america-gone-alaska-airlines-date … @TravelLeisure #VirginAmerica #travel",#VirginAmerica #travel
eduWeavers,2017-10-09 19:33,0,1,Second time in two weeks that my #virginamerica flight is delayed over 5 hours! Last time is was cancelled @VirginAmerica #nightmare #refund,#virginamerica #nightmare #refund
MileageRunner,2017-10-09 14:30,0,1,"[Goodbye, #VirginAmerica ] Flights become Alaska next April http:// bit.ly/2y4UsNL",#VirginAmerica
127travel,2017-10-09 13:04,0,0,#Virginamerica #Luxurytravel #127travel ... http:// fb.me/8XbqHJBpZ,#Virginamerica #Luxurytravel #127travel
npe143,2017-10-09 00:14,1,0,"LAX - all these delayed flights with #VirginAmerica is kinda getting annoying, #AlaskaAir please help! @AlaskaAir",#VirginAmerica #AlaskaAir
Sheyluhh,2017-10-08 22:25,0,1,The process of deplaning should be something to be advanced in this century. #virginamerica,#virginamerica
MilesDeals,2017-10-08 21:06,0,0,Roundtrip Flight: New York to Los Angeles (or Vice Versa) $206 (Travel Jan-Feb) #VirginAmerica #LosAngeles https:// milesreport.com/us/los-angeles /deals#t14191 …,#VirginAmerica #LosAngeles #t14191
FlyGirl421,2017-10-08 20:45,0,0,"@VirginAmerica pilots weren't here, but only 20 mins behind schedule.... #notbad #virginamerica #dallasbound",#notbad #virginamerica #dallasbound
flydealfare,2017-10-08 19:13,0,0,"#VirginAmerica Reviews, #BaggagePolicies , & Specific Allowances! #carryon #facilities http:// blog.flydealfare.com/virgin-america -reviews-baggage-policies-specific-allowances/ … pic.twitter.com/sVZ6MiDhoc",#VirginAmerica #BaggagePolicies #carryon #facilities
julianna12369,2017-10-08 09:30,0,0,Morning Mimosa! #virginamerica #vacation @LAX Terminal 6 https://www. instagram.com/p/BZ_R9_7g35X/,#virginamerica #vacation
ChadJamesSpeaks,2017-10-07 20:33,0,0,Virgin America Flights to be Operated by Alaska in April 2018 - https:// airlinegeeks.com/2017/10/07/vir gin-america-flights-to-be-operated-by-alaska-in-april-2018/ … #VirginAmerica #AlaskaAirlines,#VirginAmerica #AlaskaAirlines
